BREID;year;area;outline_year;shp_file
2078;1957;;1968;alf1968_EPSG32633.shp
2078;1958;;1968;alf1968_EPSG32633.shp
2078;1959;;1968;alf1968_EPSG32633.shp
2078;1960;;1968;alf1968_EPSG32633.shp
2078;1961;;1968;alf1968_EPSG32633.shp
2078;1962;;1968;alf1968_EPSG32633.shp
2078;1963;4,486;1968;alf1968_EPSG32633.shp
2078;1964;4,486;1968;alf1968_EPSG32633.shp
2078;1965;4,486;1968;alf1968_EPSG32633.shp
2078;1966;4,486;1968;alf1968_EPSG32633.shp
2078;1967;4,486;1968;alf1968_EPSG32633.shp
2078;1968;4,486;1968;alf1968_EPSG32633.shp
2078;1969;4,486;1968;alf1968_EPSG32633.shp
2078;1970;4,486;1968;alf1968_EPSG32633.shp
2078;1971;4,486;1968;alf1968_EPSG32633.shp
2078;1972;4,486;1968;alf1968_EPSG32633.shp
2078;1973;4,486;1968;alf1968_EPSG32633.shp
2078;1974;4,486;1968;alf1968_EPSG32633.shp
2078;1975;4,486;1968;alf1968_EPSG32633.shp
2078;1976;4,486;1968;alf1968_EPSG32633.shp
2078;1977;4,486;1968;alf1968_EPSG32633.shp
2078;1978;4,176;1988;alf1988_EPSG32633.shp
2078;1979;4,176;1988;alf1988_EPSG32633.shp
2078;1980;4,176;1988;alf1988_EPSG32633.shp
2078;1981;4,176;1988;alf1988_EPSG32633.shp
2078;1982;4,176;1988;alf1988_EPSG32633.shp
2078;1983;4,176;1988;alf1988_EPSG32633.shp
2078;1984;4,176;1988;alf1988_EPSG32633.shp
2078;1985;4,176;1988;alf1988_EPSG32633.shp
2078;1986;4,176;1988;alf1988_EPSG32633.shp
2078;1987;4,176;1988;alf1988_EPSG32633.shp
2078;1988;4,176;1988;alf1988_EPSG32633.shp
2078;1989;4,176;1988;alf1988_EPSG32633.shp
2078;1990;4,176;1988;alf1988_EPSG32633.shp
2078;1991;4,176;1988;alf1988_EPSG32633.shp
2078;1992;4,176;1988;alf1988_EPSG32633.shp
2078;1993;4,479;1997;alf1997_EPSG32633.shp
2078;1994;4,479;1997;alf1997_EPSG32633.shp
2078;1995;4,479;1997;alf1997_EPSG32633.shp
2078;1996;4,479;1997;alf1997_EPSG32633.shp
2078;1997;4,479;1997;alf1997_EPSG32633.shp
2078;1998;4,479;1997;alf1997_EPSG32633.shp
2078;1999;4,479;1997;alf1997_EPSG32633.shp
2078;2000;4,479;1997;alf1997_EPSG32633.shp
2078;2001;4,479;1997;alf1997_EPSG32633.shp
2078;2002;4,479;1997;alf1997_EPSG32633.shp
2078;2003;4,479;1997;alf1997_EPSG32633.shp
2078;2004;3,975;2010;alf2010_EPSG32633.shp
2078;2005;3,975;2010;alf2010_EPSG32633.shp
2078;2006;3,975;2010;alf2010_EPSG32633.shp
2078;2007;3,975;2010;alf2010_EPSG32633.shp
2078;2008;3,975;2010;alf2010_EPSG32633.shp
2078;2009;3,975;2010;alf2010_EPSG32633.shp
2078;2010;3,975;2010;alf2010_EPSG32633.shp
2078;2011;3,975;2010;alf2010_EPSG32633.shp
2078;2012;3,975;2010;alf2010_EPSG32633.shp
2078;2013;3,975;2010;alf2010_EPSG32633.shp
2078;2014;3,975;2010;alf2010_EPSG32633.shp
2078;2015;3,476;2019;alf2019_EPSG32633.shp
2078;2016;3,476;2019;alf2019_EPSG32633.shp
2078;2017;3,476;2019;alf2019_EPSG32633.shp
2078;2018;3,476;2019;alf2019_EPSG32633.shp
2078;2019;3,476;2019;alf2019_EPSG32633.shp
2078;2020;3,476;2019;alf2019_EPSG32633.shp
2085;1957;;1968;han1968_EPSG32633.shp
2085;1958;;1968;han1968_EPSG32633.shp
2085;1959;;1968;han1968_EPSG32633.shp
2085;1960;;1968;han1968_EPSG32633.shp
2085;1961;;1968;han1968_EPSG32633.shp
2085;1962;;1968;han1968_EPSG32633.shp
2085;1963;;1968;han1968_EPSG32633.shp
2085;1964;;1968;han1968_EPSG32633.shp
2085;1965;;1968;han1968_EPSG32633.shp
2085;1966;;1968;han1968_EPSG32633.shp
2085;1967;;1968;han1968_EPSG32633.shp
2085;1968;;1968;han1968_EPSG32633.shp
2085;1969;;1968;han1968_EPSG32633.shp
2085;1970;;1968;han1968_EPSG32633.shp
2085;1971;;1968;han1968_EPSG32633.shp
2085;1972;;1968;han1968_EPSG32633.shp
2085;1973;;1968;han1968_EPSG32633.shp
2085;1974;;1968;han1968_EPSG32633.shp
2085;1975;;1968;han1968_EPSG32633.shp
2085;1976;;1968;han1968_EPSG32633.shp
2085;1977;;1968;han1968_EPSG32633.shp
2085;1978;;1988;han1988_EPSG32633.shp
2085;1979;;1988;han1988_EPSG32633.shp
2085;1980;;1988;han1988_EPSG32633.shp
2085;1981;;1988;han1988_EPSG32633.shp
2085;1982;;1988;han1988_EPSG32633.shp
2085;1983;;1988;han1988_EPSG32633.shp
2085;1984;;1988;han1988_EPSG32633.shp
2085;1985;;1988;han1988_EPSG32633.shp
2085;1986;3,066;1988;han1988_EPSG32633.shp
2085;1987;3,066;1988;han1988_EPSG32633.shp
2085;1988;3,066;1988;han1988_EPSG32633.shp
2085;1989;3,066;1988;han1988_EPSG32633.shp
2085;1990;3,066;1988;han1988_EPSG32633.shp
2085;1991;3,066;1988;han1988_EPSG32633.shp
2085;1992;3,066;1988;han1988_EPSG32633.shp
2085;1993;3,181;1997;han1997_EPSG32633.shp
2085;1994;3,181;1997;han1997_EPSG32633.shp
2085;1995;3,181;1997;han1997_EPSG32633.shp
2085;1996;3,181;1997;han1997_EPSG32633.shp
2085;1997;3,181;1997;han1997_EPSG32633.shp
2085;1998;3,181;1997;han1997_EPSG32633.shp
2085;1999;3,181;1997;han1997_EPSG32633.shp
2085;2000;3,181;1997;han1997_EPSG32633.shp
2085;2001;3,181;1997;han1997_EPSG32633.shp
2085;2002;3,181;1997;han1997_EPSG32633.shp
2085;2003;3,181;1997;han1997_EPSG32633.shp
2085;2004;2,75;2010;han2010_EPSG32633.shp
2085;2005;2,75;2010;han2010_EPSG32633.shp
2085;2006;2,75;2010;han2010_EPSG32633.shp
2085;2007;2,75;2010;han2010_EPSG32633.shp
2085;2008;2,75;2010;han2010_EPSG32633.shp
2085;2009;2,75;2010;han2010_EPSG32633.shp
2085;2010;2,75;2010;han2010_EPSG32633.shp
2085;2011;2,75;2010;han2010_EPSG32633.shp
2085;2012;2,75;2010;han2010_EPSG32633.shp
2085;2013;2,75;2010;han2010_EPSG32633.shp
2085;2014;2,75;2010;han2010_EPSG32633.shp
2085;2015;2,48;2019;han2019_EPSG32633.shp
2085;2016;2,48;2019;han2019_EPSG32633.shp
2085;2017;2,48;2019;han2019_EPSG32633.shp
2085;2018;2,48;2019;han2019_EPSG32633.shp
2085;2019;2,48;2019;han2019_EPSG32633.shp
2085;2020;2,48;2019;han2019_EPSG32633.shp
2297;1957;;1964;nig1964_EPSG32633.shp
2297;1958;;1964;nig1964_EPSG32633.shp
2297;1959;;1964;nig1964_EPSG32633.shp
2297;1960;;1964;nig1964_EPSG32633.shp
2297;1961;;1964;nig1964_EPSG32633.shp
2297;1962;48,312;1964;nig1964_EPSG32633.shp
2297;1963;48,312;1964;nig1964_EPSG32633.shp
2297;1964;48,312;1964;nig1964_EPSG32633.shp
2297;1965;48,312;1964;nig1964_EPSG32633.shp
2297;1966;48,312;1964;nig1964_EPSG32633.shp
2297;1967;48,312;1964;nig1964_EPSG32633.shp
2297;1968;48,312;1964;nig1964_EPSG32633.shp
2297;1969;48,1;1974;nig1974_EPSG32633.shp
2297;1970;48,1;1974;nig1974_EPSG32633.shp
2297;1971;48,1;1974;nig1974_EPSG32633.shp
2297;1972;48,1;1974;nig1974_EPSG32633.shp
2297;1973;48,1;1974;nig1974_EPSG32633.shp
2297;1974;48,1;1974;nig1974_EPSG32633.shp
2297;1975;48,1;1974;nig1974_EPSG32633.shp
2297;1976;48,1;1974;nig1974_EPSG32633.shp
2297;1977;48,1;1974;nig1974_EPSG32633.shp
2297;1978;48,1;1974;nig1974_EPSG32633.shp
2297;1979;48,86;1984;nig1984_EPSG32633.shp
2297;1980;48,86;1984;nig1984_EPSG32633.shp
2297;1981;48,86;1984;nig1984_EPSG32633.shp
2297;1982;48,86;1984;nig1984_EPSG32633.shp
2297;1983;48,86;1984;nig1984_EPSG32633.shp
2297;1984;48,86;1984;nig1984_EPSG32633.shp
2297;1985;48,86;1984;nig1984_EPSG32633.shp
2297;1986;48,86;1984;nig1984_EPSG32633.shp
2297;1987;48,86;1984;nig1984_EPSG32633.shp
2297;1988;48,86;1984;nig1984_EPSG32633.shp
2297;1989;48,86;1984;nig1984_EPSG32633.shp
2297;1990;48,86;1984;nig1984_EPSG32633.shp
2297;1991;48,86;1984;nig1984_EPSG32633.shp
2297;1992;48,86;1984;nig1984_EPSG32633.shp
2297;1993;48,86;1984;nig1984_EPSG32633.shp
2297;1994;48,86;1984;nig1984_EPSG32633.shp
2297;1995;48,86;1984;nig1984_EPSG32633.shp
2297;1996;48,86;1984;nig1984_EPSG32633.shp
